"";"ema";"institucion";"nombre_ema";"comuna";"region";"latitud";"longitud";"fecha_de_alta"
"354";471;"INIA";"5 de enero";"San Gregorio";"Magallanes";-52,432478;-70,360583;2017-08-31 16:03:22
"355";479;"INIA";"Altos la Portada";"Antofagasta";"Antofagasta";-23,5040977;-70,4046663;2017-08-31 16:08:26
"356";483;"INIA";"Puente Negro";"Pichilemu";"O'Higgins";-34,386351;-71,98571;2017-08-31 16:11:56
"357";487;"INIA";"Camar";"San Pedro de Atacama";"Antofagasta";-23,407102;-67,963735;2017-08-31 16:16:14
"358";491;"INIA";"San Jorge Los Niches";"Curicó";"Maule";-35,0918;-71,120579;2017-08-31 16:18:48
"359";495;"INIA";"Lien";"Curepto";"Maule";-35,099146;-71,969797;2017-08-31 16:20:40
"360";499;"INIA";"Colliguay";"Quilpué";"Valparaíso";-33,1686089;-71,1557171;2017-08-31 16:24:53
"361";503;"INIA";"Lomas";"Pelluhue";"Maule";-35,8354491;-72,587489;2017-08-31 16:26:59
"362";507;"INIA";"Puraligue";"Treguaco";"Biobío";-36,431036;-72,647783;2017-08-31 16:28:28
"363";511;"INIA";"El Asiento";"Alhué";"Metropolitana";-34,029282;-70,995098;2017-08-31 16:32:12
"364";519;"INIA";"San Rafael";"Los Sauces";"Araucanía";-38,070667;-72,724176;2017-08-31 16:33:40
"365";523;"INIA";"La Paz";"Loncoche";"Araucanía";-39,428135;-72,718521;2017-08-31 16:38:12
"366";527;"INIA";"Carelmapu";"Maullín";"Los Lagos";-41,709733;-73,6722625;2017-08-31 16:41:13
"367";531;"INIA";"Gaby-Ranquilco";"Lumaco";"Araucanía";-38,116919;-72,883497;2017-08-31 16:44:32
"368";539;"INIA";"San Enrique";"Pucón";"Araucanía";-39,261711;-71,868097;2017-08-31 16:52:35
"369";543;"INIA";"Cuya";"Camarones";"Arica y Parinacota";-19,161922;-70,180968;2017-08-31 16:53:38
"370";547;"INIA";"Los Arrayanes";"Toltén";"Araucanía";-39,165408;-73,132936;2017-08-31 16:55:31
"371";551;"INIA";"Pica";"Pica";"Tarapacá";-20,501476;-69,342572;2017-08-31 16:56:54
"372";555;"INIA";"Huacamapu";"San Juan de la Costa";"Los Lagos";-40,659175;-73,491723;2017-08-31 16:58:20
"373";559;"INIA";"Cuncumén";"San Antonio";"Valparaíso";-33,736215;-71,421579;2017-08-31 17:00:32
"374";567;"INIA";"Huentelauquen";"Canela";"Coquimbo";-31,5885;-71,509833;2017-09-01 15:57:51
"375";582;"INIA";"La Copa";"Caldera";"Atacama";-27,345439;-70,622009;2017-09-26 20:00:35
"376";587;"METEOVID";"Siegel";"San Fernando";"O'Higgins";-34,52545;-70,88758;2017-09-26 20:12:07
"377";592;"METEOVID";"Via Wines";"Curicó";"Maule";-35,0904667;-71,177367;2017-09-26 20:14:40
"378";597;"METEOVID";"Laberinto";"Colbún";"Maule";-35,6993;-71,2687;2017-09-26 20:15:34
"379";602;"METEOVID";"Sierras de Bellavista";"San Fernando";"O'Higgins";-34,815583;-70,751067;2017-09-26 20:19:49
"380";608;"FDF";"Iglesia Colorada";"Tierra Amarilla";"Atacama";-28,1489444;-69,89183333;2017-10-02 19:53:27
"381";612;"FDF";"Freirina";"Freirina";"Atacama";-28,5066389;-71,10372222;2017-10-02 19:56:04
"382";616;"FDF";"El Trapiche";"La Higuera";"Coquimbo";-29,3718611;-71,11608333;2017-10-02 19:57:13
"383";617;"INIA";"Faja Maisan";"Pitrufquén";"Araucanía";-39,071148;-72,92198;2017-11-07 13:28:34
"384";619;"INIA";"La Cachina";"Taltal";"Antofagasta";-25,433987;-70,453243;2017-11-07 13:30:57
"385";621;"INIA";"Bajada Ibañez";"Río Ibáñez";"Aysén";-46,180619;-72,043261;2017-11-07 13:32:00
"386";623;"FDF";"Los Espinos";"Los Andes";"Valparaíso";-32,8901667;-70,3821388;2017-11-17 10:25:01
"387";625;"METEOVID";"Concha y Toro - Pencahue";"Pencahue";"Maule";-35,44522;-71,83436;2018-01-29 16:57:25
"388";626;"INIA";"Arroyo el Gato";"Coyhaique";"Aysén";-45,162902;-71,943627;2018-03-07 11:47:08
"389";628;"INIA";"Miraflores";"Longaví";"Maule";-35,818051;-71,775019;2018-03-07 12:02:18
"390";630;"INIA";"Liceo Jean Buchanan";"Peumo";"O'Higgins";-34,3972892;-71,1646719;2018-03-07 12:04:06
"391";632;"INIA";"Chaguaral";"Monte Patria";"Coquimbo";-30,857084;-70,730689;2018-03-07 12:07:55
"392";634;"INIA";"Pid-Pid";"Castro";"Los Lagos";-42,411747;-73,783913;2018-03-07 12:10:23
"393";636;"INIA";"Quilquico";"Castro";"Los Lagos";-42,491512;-73,708817;2018-03-07 12:13:00
"394";638;"INIA";"Isla Chelin";"Castro";"Los Lagos";-42,589153;-73,532906;2018-03-07 12:15:53
"395";640;"INIA";"Radal";"Freire";"Araucanía";-38,98547;-72,381617;2018-03-07 12:17:25
"396";642;"INIA";"San Sebastián";"Perquenco";"Araucanía";-38,435064;-72,399024;2018-03-07 12:19:23
"397";644;"INIA";"Taplon";"Padre Las Casas";"Araucanía";-38,83295;-72,506385;2018-03-07 12:21:03
"398";646;"INIA";"El Vergel";"Angol";"Araucanía";-37,8278098;-72,6596649;2018-03-07 12:23:10
"399";648;"INIA";"Pailahueque";"Ercilla";"Araucanía";-38,145552;-72,6596649;2018-03-07 12:25:41
"400";650;"METEOVID";"Viu Manent – Santa Cruz";"Santa Cruz";"O'Higgins";-34,646111111;-71,313611111;2019-07-17 09:40:23
"401";651;"METEOVID";"Viu Manent – Peralillo";"Peralillo";"O'Higgins";-34,495833333;-71,491666666;2019-07-17 09:50:59
"402";653;"INIA";"Licanchen";"Navidad";"O'Higgins";-33,9297485;-71,8010025;2019-12-05 09:58:28
"403";655;"INIA";"Pampa Concordia";"Arica";"Arica y Parinacota";-18,362922;-70,302033;2020-03-30 15:02:10
"404";658;"INIA";"Chapiquiña";"Putre";"Arica y Parinacota";-18,389472;-69,539417;2020-03-30 15:03:47
"405";661;"INIA";"Ajial de Quiles";"Punitaqui";"Coquimbo";-30,920303;-71,3841;2020-03-30 15:19:03
"406";664;"INIA";"La Polvareda";"Punitaqui";"Coquimbo";-30,882719;-71,239736;2020-03-30 15:20:27
"407";667;"INIA";"Rayentué";"Rengo";"O'Higgins";-34,321704;-70,833901;2020-03-30 15:23:20
"408";670;"INIA";"Las Puentes";"Arauco";"Biobío";-37,305126;-73,436712;2020-03-30 15:24:39
"409";673;"INIA";"Santa Lucía";"Florida";"Biobío";-36,69746;-72,704216;2020-03-30 15:26:11
"410";676;"INIA";"Collimallin";"Temuco";"Araucanía";-38,606698;-72,701057;2020-03-30 15:34:05
"411";679;"INIA";"Tenaún";"Dalcahue";"Los Lagos";-42,312675;-73,399902;2020-03-30 15:35:31
"412";682;"INIA";"Ñirehuao";"Coyhaique";"Aysén";-45,249744;-71,69425;2020-03-30 15:36:37
"413";685;"INIA";"Puerto Ibañez";"Río Ibáñez";"Aysén";-46,278309;-71,941433;2020-03-30 15:38:07
"414";688;"INIA";"El Oasis";"Lampa";"Metropolitana";-33,286268;-70,83606;2020-11-09 20:31:37
"415";691;"METEOVID";"Luis Felipe Edwards-Pumanque";"Pumanque";"O'Higgins";-34,640893;-71,776318;2021-03-11 20:05:42
"416";694;"METEOVID";"Luis Felipe Edwards-Las Rosas";"Retiro";"Maule";-35,889749;-71,856565;2021-03-11 20:08:21
"417";696;"FDF";"Curicó";"Curicó";"Maule";-34,940973;-71,222752;2021-06-08 18:43:07
