"";"ema";"institucion";"nombre_ema";"comuna";"region";"latitud";"longitud";"fecha_de_alta"
"177";185;"INIA";"Dominguez";"Saavedra";"Araucanía";-38,918610833;-73,240278;2013-03-08 06:49:12
"178";186;"INIA";"La Providencia";"Traiguén";"Araucanía";-38,289444;-72,611389;2013-03-08 06:49:12
"179";188;"INIA";"Quiripio";"Carahue";"Araucanía";-38,639721833;-73,244167;2013-03-08 06:49:10
"180";189;"INIA";"El Quincho";"Cunco";"Araucanía";-38,913175;-72,183514;2013-03-08 06:49:11
"181";190;"INIA";"Curacautín-San Luis";"Curacautín";"Araucanía";-38,401667;-71,9025;2013-03-08 06:49:11
"182";191;"INIA";"Sta. Adela";"Nueva Imperial";"Araucanía";-38,756110833;-72,891389;2013-03-08 06:49:11
"183";192;"INIA";"Tranapuente";"Carahue";"Araucanía";-38,690832833;-73,353333;2013-03-08 06:49:10
"184";193;"INIA";"Lago Verde";"Paillaco";"Los Ríos";-40,165081;-72,633842833;2013-03-08 06:49:11
"185";194;"INIA";"El Cardal";"Río Bueno";"Los Ríos";-40,386736833;-72,919058;2013-03-08 06:49:12
"186";195;"INIA";"Butalcura";"Dalcahue";"Los Lagos";-42,261761833;-73,650812;2013-03-08 06:49:11
"187";196;"INIA";"Colegual";"Llanquihue";"Los Lagos";-41,221842833;-73,259855833;2013-03-08 06:49:11
"188";197;"INIA";"Huyar Alto";"Curaco de Vélez";"Los Lagos";-42,403919;-73,568191833;2013-03-08 06:49:11
"189";198;"INIA";"La Pampa";"Purranque";"Los Lagos";-40,860638833;-73,156917;2013-03-08 06:49:12
"190";199;"INIA";"Los Canelos";"Los Muermos";"Los Lagos";-41,481326;-73,474378;2013-03-08 06:49:11
"191";200;"INIA";"Octay";"Puerto Octay";"Los Lagos";-40,957155833;-72,885495;2013-03-08 06:49:12
"192";201;"INIA";"Polizones";"Fresia";"Los Lagos";-41,115147;-73,376627833;2013-03-08 06:49:11
"193";202;"INIA";"Quilanto";"Frutillar";"Los Lagos";-41,030728;-72,996308833;2013-03-08 06:49:11
"194";203;"INIA";"Remehue";"Osorno";"Los Lagos";-40,522204;-73,063654833;2013-03-08 06:49:11
"195";204;"INIA";"Tara";"Chonchi";"Los Lagos";-42,703730833;-73,788516833;2013-03-08 06:49:11
"196";205;"INIA";"Chile Chico";"Chile Chico";"Aysén";-46,543241833;-71,699297833;2013-03-08 06:49:11
"197";206;"INIA";"Cochrane";"Cochrane";"Aysén";-47,241733;-72,582203;2013-03-08 06:49:11
"198";207;"INIA";"Tamelaike";"Coihaique";"Aysén";-45,759113833;-72,061842833;2013-03-08 06:49:11
"199";208;"INIA";"Vista Hermosa";"Coihaique";"Aysén";-45,936818;-71,835341833;2013-03-08 06:49:11
"200";209;"INIA";"Puerto Natales";"Natales";"Magallanes";-51,698366833;-72,483081833;2013-03-08 06:49:11
"201";210;"INIA";"Punta Arenas Rural";"Punta Arenas";"Magallanes";-53,068313;-70,873761;2013-03-08 06:49:12
"202";213;"METEOVID";"Errazuriz";"Quillota";"Valparaíso";-32,898611111;-71,351666667;2013-03-08 06:49:12
"203";214;"METEOVID";"Luis Felipe Edwards-Leyda";"Santo Domingo";"Valparaíso";-33,73975;-71,636778;2013-03-08 06:49:11
"204";215;"METEOVID";"Casa Marín";"Cartagena";"Valparaíso";-33,524444444;-71,545555556;2013-03-08 06:49:10
"205";216;"METEOVID";"Emiliana";"Casablanca";"Valparaíso";-33,361388889;-71,309166667;2013-03-08 06:49:10
"206";217;"METEOVID";"Ventisquero-Tapihue";"Casablanca";"Valparaíso";-33,300555556;-71,283333333;2013-03-08 06:49:10
"207";218;"METEOVID";"Casa Rivas (N.C.)";"Curacaví";"Metropolitana";-33,506388889;-71,060833333;2013-03-08 06:49:11
"208";219;"METEOVID";"William Fevre";"Pirque";"Metropolitana";-33,671388889;-70,581666667;2013-03-08 06:49:12
"209";220;"METEOVID";"Morandé - Romeral";"Buin";"Metropolitana";-33,706388889;-70,772777778;2013-03-08 06:49:10
"210";221;"METEOVID";"Santa Rita";"Buin";"Metropolitana";-33,718611111;-70,669166667;2013-03-08 06:49:10
"211";222;"METEOVID";"De Martino";"Isla de Maipo";"Metropolitana";-33,581944444;-70,880555556;2013-03-08 06:49:11
"212";223;"METEOVID";"Chocalán";"Melipilla";"Metropolitana";-33,760555556;-71,225555556;2013-03-08 06:49:11
"213";224;"METEOVID";"Pérez Cruz";"Buin";"Metropolitana";-33,843055556;-70,619722222;2013-03-08 06:49:10
"214";225;"METEOVID";"San Pedro";"Paine";"Metropolitana";-33,768888889;-70,929722222;2013-03-08 06:49:11
"215";226;"METEOVID";"Ventisquero";"Buin";"Metropolitana";-34,0225;-71,344166667;2013-03-08 06:49:10
"216";227;"METEOVID";"Anakena";"Requínoa";"O'Higgins";-34,304722222;-70,771666667;2013-03-08 06:49:12
"217";228;"METEOVID";"La Rosa – Oeste";"Peumo";"O'Higgins";-34,325;-71,239444444;2013-03-08 06:49:11
"218";229;"METEOVID";"Casa Silva-Los Lingues";"San Fernando";"O'Higgins";-34,502222222;-70,894722222;2013-03-08 06:49:12
"219";230;"METEOVID";"Ventisquero-Peralillo";"Peralillo";"O'Higgins";-34,394444444;-71,445555556;2013-03-08 06:49:11
"220";231;"METEOVID";"Montes";"Marchihue";"O'Higgins";-34,340555556;-71,652222222;2013-03-08 06:49:11
"221";232;"METEOVID";"Lapostolle-Apalta";"Santa Cruz";"O'Higgins";-34,593611111;-71,302222222;2013-03-08 06:49:12
"222";233;"METEOVID";"Conosur";"Chimbarongo";"O'Higgins";-34,715555556;-71,038611111;2013-03-08 06:49:11
"223";234;"METEOVID";"Hacienda Araucano-Lolol";"Peralillo";"O'Higgins";-34,727222222;-71,588888889;2013-03-08 06:49:11
"224";236;"METEOVID";"Ventisquero-Apalta";"Santa Cruz";"O'Higgins";-34,608055556;-71,246944444;2013-03-08 06:49:12
"225";238;"METEOVID";"Aresti";"Molina";"Maule";-35,151388889;-71,298055556;2013-03-08 06:49:11
"226";239;"METEOVID";"Viñedos Puertas";"Curicó";"Maule";-34,986944444;-71,279722222;2013-03-08 06:49:11
"227";240;"METEOVID";"Casas Patronales";"San Clemente";"Maule";-35,491666667;-71,445555556;2013-03-08 06:49:12
"228";241;"METEOVID";"J. Bouchon";"San Javier";"Maule";-35,569166667;-71,995277778;2013-03-08 06:49:12
"229";242;"METEOVID";"Torres";"San Javier";"Maule";-35,567222222;-72,29;2013-03-08 06:49:12
"230";244;"METEOVID";"Odjfell";"Cauquenes";"Maule";-36,144722222;-72,265833333;2013-03-08 06:49:11
"231";245;"METEOVID";"Guilisasti";"Mulchén";"Biobío";-37,648333333;-72,216111111;2013-03-08 06:49:11
"232";246;"METEOVID";"Garcés Silva";"San Antonio";"Valparaíso";-33,681388889;-71,495833333;2013-03-08 06:49:11
"233";247;"METEOVID";"Morandé";"San Bernardo";"Metropolitana";-33,581388889;-70,716666667;2013-03-08 06:49:12
"234";248;"METEOVID";"San Pedro-El Tránsito";"Paine";"Metropolitana";-33,771111111;-70,685555556;2013-03-08 06:49:11
"235";249;"METEOVID";"Santa Carolina";"Paine";"Metropolitana";-33,599722222;-70,649722222;2013-03-08 06:49:11
"236";250;"METEOVID";"San Pedro-Totihue";"Totihue";"O'Higgins";-34,341111111;-70,727777778;2013-03-08 06:49:12
"237";251;"METEOVID";"Luis Felipe Edwards";"Colchagua";"O'Higgins";-34,693055556;-71,156944444;2013-03-08 06:49:11
"238";252;"METEOVID";"San Pedro-Molina";"Molina";"Maule";-35,103055556;-71,338333333;2013-03-08 06:49:11
"239";253;"METEOVID";"San Pedro-Pencahue";"Pencahue";"Maule";-35,333888889;-71,769166667;2013-03-08 06:49:11
"240";254;"METEOVID";"El Aromo";"Duao";"Maule";-35,535555556;-71,598333333;2013-03-08 06:49:11
"241";260;"INIA";"Hidango";"Litueche";"O'Higgins";-34,1;-71,8;2013-05-08 12:24:25
"242";261;"INIA";"Caspana";"Calama";"Antofagasta";-22,334515;-68,213597;2013-05-08 12:24:25
"243";263;"INIA";"Codpa";"Camarones";"Arica y Parinacota";-18,833055556;-69,744444444;2013-05-08 12:24:25
"244";264;"INIA";"Tierra del Fuego";"Primavera";"Magallanes";-52,804319889;-69,273691;2013-05-08 12:24:25
"245";265;"INIA";"El Claro";"Coyhaique";"Aysén";-45,9812;-72,092267;2013-05-08 12:24:25
"246";266;"INIA";"Las Lomas";"Máfil";"Los Ríos";-39,700929;-73,014793;2013-05-08 12:24:25
"247";267;"INIA";"San Antonio de Naltahua";"Isla de Maipo";"Metropolitana";-33,725439;-71,042558;2013-05-08 12:24:25
"248";268;"INIA";"San Pedro de Melipilla";"San Pedro";"Metropolitana";-33,897935;-71,452881;2013-05-08 12:24:25
"249";269;"INIA";"Santa Carla";"Panguipulli";"Los Ríos";-39,679571;-72,611389;2013-05-08 12:24:25
"250";270;"INIA";"Isla Riesco-Río Verde";"Río Verde";"Magallanes";-53,030495;-71,933637;2013-05-08 12:24:25
"251";271;"INIA";"Desagüe Rupanco";"Puyehue";"Los Lagos";-40,752634;-72,663894;2013-05-08 12:24:25
"252";272;"FDF";"La Higuera";"La Ligua";"Valparaíso";-32,49269683;-71,15288083;2014-07-31 16:42:55
"253";273;"FDF";"San Lorenzo";"Cabildo";"Valparaíso";-32,43941683;-71,00296083;2014-07-31 17:12:05
"254";274;"FDF";"Pullancón";"La Ligua";"Valparaíso";-32,30708283;-71,23075;2014-07-31 17:15:22
"255";275;"FDF";"Palquico";"Petorca";"Valparaíso";-32,25702783;-71,14163883;2014-07-31 17:17:11
"256";276;"FDF";"Manuel Montt";"Petorca";"Valparaíso";-32,322861;-71,06105583;2014-07-31 17:19:22
"257";277;"FDF";"Las Puertas";"Cabildo";"Valparaíso";-32,362194;-70,81972183;2014-07-31 17:21:57
"258";278;"FDF";"Paihuén";"Cabildo";"Valparaíso";-32,37927783;-70,841622;2014-07-31 17:33:07
"259";279;"FDF";"Catapilco";"Zapallar";"Valparaíso";-32,56033283;-71,311806;2014-07-31 17:35:23
"260";280;"FDF";"El Guindo";"La Ligua";"Valparaíso";-32,35716683;-71,345472;2014-07-31 17:37:01
"261";281;"INIA";"Camarones";"Camarones";"Arica y Parinacota";-19;-69,9;2014-10-07 11:51:19
"262";282;"INIA";"Putre";"Putre";"Arica y Parinacota";-18,2;-69,6;2014-10-07 12:07:43
"263";283;"INIA";"Amolana Copiapo 2";"Tierra Amarilla";"Atacama";-28;-70;2014-10-07 12:22:43
"264";284;"INIA";"La Cruz";"La Cruz";"Valparaíso";-32,822;-71,2304;2014-10-07 12:46:47
"265";285;"INIA";"Los Tilos";"Buin";"Metropolitana";-33,7;-70,7;2014-10-08 09:28:34
"266";286;"INIA";"Palermo";"La Unión";"Los Ríos";-40,3;-73,1;2014-10-08 09:35:10
"267";287;"INIA";"Ensenada";"Puerto Varas";"Los Lagos";-41,233333333;-72,516111111;2014-10-08 09:36:43
"268";288;"INIA";"Quilacahuin";"San Pablo";"Los Lagos";-40,3;-73,3;2014-10-08 09:42:49
"269";289;"INIA";"Kampenaike";"Laguna Blanca";"Magallanes";-52,6;-70,9;2014-10-08 09:44:42
"270";290;"FDF";"Curimón";"San Felipe";"Valparaíso";-32,799972;-70,700306;2014-10-15 15:31:14
"271";291;"FDF";"Tutuquen";"Curicó";"Maule";-34,961611;-71,315861;2014-10-15 15:37:05
"272";292;"FDF";"Miraflores";"Linares";"Maule";-35,918056;-71,613306;2014-10-15 15:47:10
"273";293;"FDF";"Rarin";"Vichuquén";"Maule";-34,765667;-71,956667;2014-10-15 15:48:42
"274";294;"FDF";"Placilla Chacarilla";"Placilla";"O'Higgins";-34,641583;-71,135667;2014-10-15 16:06:38
"275";295;"FDF";"La Union Norte";"La Unión";"Los Ríos";-40,288667;-73,071333;2014-10-15 16:12:48
"276";309;"INIA";"Cerro Blanco";"Arica";"Arica y Parinacota";-18,575;-70,07;2015-02-24 08:54:28
"277";310;"INIA";"Chaca";"Arica";"Arica y Parinacota";-18,81;-70,156;2015-02-24 08:57:08
"278";311;"INIA";"Santa Amada";"Linares";"Maule";-35,761;-71,48;2015-02-24 09:26:20
"279";312;"INIA";"San Clemente";"San Clemente";"Maule";-35,531;-71,574;2015-02-24 09:27:18
"280";313;"INIA";"Marimenuco";"Lonquimay";"Araucanía";-38,731667;-71,140833;2015-07-03 11:22:01
"281";314;"INIA";"Centro Experimental Arroz INIA";"San Carlos";"Biobío";-36,409298;-72,006731;2015-07-03 11:24:00
"282";315;"INIA";"Puala";"Curarrehue";"Araucanía";-39,381944;-71,5725;2015-07-03 11:26:36
"283";316;"INIA";"Huiscapi";"Villarrica";"Araucanía";-39,263333;-72,398889;2015-07-03 11:29:46
"284";317;"INIA";"Sta Inés";"Lautaro";"Araucanía";-38,504722;-72,343611;2015-07-03 11:31:05
"285";318;"INIA";"Las Palmas";"Victoria";"Araucanía";-38,227778;-72,273333;2015-07-03 11:33:49
"286";319;"INIA";"Surco y semilla";"Collipulli";"Araucanía";-38,0325;-72,285278;2015-07-03 11:35:03
"287";320;"INIA";"Manzanares";"Renaico";"Araucanía";-37,7725;-72,546111;2015-07-03 11:36:35
"288";321;"INIA";"San Fabián";"Galvarino";"Araucanía";-38,446389;-72,849444;2015-07-03 11:38:11
"289";322;"INIA";"Perales";"Cholchol";"Araucanía";-38,663889;-72,808889;2015-07-03 11:39:39
"290";323;"CEAZA";"Cerro Grande";"La Serena";"Coquimbo";-29,93849;-71,22358;2015-12-14 13:00:13
"291";324;"CEAZA";"Ovalle";"Ovalle";"Coquimbo";-30,59203;-71,24797;2015-12-14 13:43:01
"292";325;"CEAZA";"Tongoy Balsa CMET";"Coquimbo";"Coquimbo";-30,27514;-71,56114;2016-01-13 16:22:08
"293";326;"CEAZA";"La Serena";"La Serena";"Coquimbo";-29,91502;-71,24221;2016-01-13 16:37:52
"294";327;"CEAZA";"Coquimbo";"Coquimbo";"Coquimbo";-30;-71,4;2016-01-13 16:39:26
"295";328;"CEAZA";"Rapel";"Monte Patria";"Coquimbo";-30,7232;-70,7726;2016-01-13 16:41:05
"296";329;"CEAZA";"Huintil";"Illapel";"Coquimbo";-31,57319;-70,99831;2016-01-13 16:42:06
"297";330;"CEAZA";"El Tapado";"Vicuña";"Coquimbo";-30,1567;-69,91421;2016-01-13 16:43:14
"298";331;"CEAZA";"La Laguna";"Vicuña";"Coquimbo";-30,20289;-70,03718;2016-01-13 16:44:07
"299";332;"CEAZA";"Hualtatas";"Monte Patria";"Coquimbo";-31,70732;-70,525;2016-01-13 16:44:57
"300";333;"CEAZA";"Los Molles [Bocatoma]";"Monte Patria";"Coquimbo";-30,74608;-70,41922;2016-01-13 16:46:34
"301";334;"CEAZA";"Pan de Azúcar [INIA]";"Coquimbo";"Coquimbo";-30,06667;-71,23333;2016-01-13 16:47:21
"302";335;"CEAZA";"Pisco Elqui";"Paiguano";"Coquimbo";-30,11667;-70,48333;2016-01-13 16:48:08
"303";336;"CEAZA";"Rivadavia";"Paiguano";"Coquimbo";-29,96185;-70,53888;2016-01-13 16:50:36
"304";337;"CEAZA";"Gabriela Mistral";"La Serena";"Coquimbo";-29,97852;-71,08039;2016-01-13 16:52:18
"305";338;"CEAZA";"Tascadero";"Monte Patria";"Coquimbo";-31,26282;-70,54;2016-01-13 16:53:19
"306";339;"CEAZA";"Andacollo";"Andacollo";"Coquimbo";-30,24971;-71,06643;2016-01-13 16:54:12
"307";340;"CEAZA";"Vicuña";"Vicuña";"Coquimbo";-30,03832;-70,69655;2016-01-13 16:55:21
"308";341;"CEAZA";"Paso Aguas Negras";"Vicuña";"Coquimbo";-30,19137;-69,82546;2016-01-13 16:56:11
"309";342;"CEAZA";"Canela";"Canela";"Coquimbo";-31,39;-71,41;2016-01-13 16:57:20
"310";343;"CEAZA";"Hurtado";"Río Hurtado";"Coquimbo";-30,30917;-70,62646;2016-01-13 16:58:11
"311";344;"CEAZA";"Illapel";"Illapel";"Coquimbo";-31,64814;-71,19695;2016-01-13 17:00:08
"312";345;"CEAZA";"UCN Guayacan";"Coquimbo";"Coquimbo";-29,96663;-71,3528;2016-01-13 17:03:22
"313";346;"CEAZA";"Pichasca";"Río Hurtado";"Coquimbo";-30,41306;-70,90275;2016-01-13 17:06:09
"314";347;"CEAZA";"Quebrada Seca";"Ovalle";"Coquimbo";-30,49613;-71,49051;2016-01-13 17:07:22
"315";348;"CEAZA";"Cachiyuyo";"Vallenar";"Atacama";-29,0572;-70,90517;2016-01-13 17:09:01
"316";349;"CEAZA";"Punta de Choros";"La Higuera";"Coquimbo";-29,24594;-71,4687;2016-01-13 17:20:39
"317";350;"CEAZA";"Mincha Sur";"Canela";"Coquimbo";-31,59;-71,42;2016-01-13 17:22:17
"318";351;"CEAZA";"Punta Colorada";"La Higuera";"Coquimbo";-29,35411;-71,03286;2016-01-13 17:23:25
"319";352;"CEAZA";"Las Cardas";"Coquimbo";"Coquimbo";-30,25145;-71,2569;2016-01-13 17:27:29
"320";353;"CEAZA";"Combarbalá";"Combarbalá";"Coquimbo";-31,20093;-71,00057;2016-01-13 17:28:32
"321";354;"CEAZA";"Laguna Hurtado";"Río Hurtado";"Coquimbo";-30,51102;-70,4467;2016-01-13 17:29:21
"322";356;"CEAZA";"El Romeral";"La Serena";"Coquimbo";-29,75497;-71,25753;2016-01-13 17:32:11
"323";357;"CEAZA";"Salamanca";"Salamanca";"Coquimbo";-31,89;-70,75;2016-01-13 17:35:09
"324";360;"CEAZA";"Tilama";"Los Vilos";"Coquimbo";-32,08;-71,16;2016-01-13 17:41:02
"325";361;"CEAZA";"Pichidangui";"Los Vilos";"Coquimbo";-32,13142;-71,53108;2016-01-13 17:41:55
"326";367;"METEOVID";"Ventisquero - Leyda";"San Antonio";"Valparaíso";-33,68548333;-71,54943056;2016-07-11 11:05:56
"327";368;"INIA";"Monte Flor-Tucapel";"Parral";"Maule";-36,2448;-71,93429;2016-08-02 16:21:44
"328";369;"INIA";"Ponotro";"Tirúa";"Biobío";-38,27529;-73,498489;2016-08-02 16:27:05
"329";370;"INIA";"La Isla";"Purén";"Araucanía";-38,03;-72,982;2016-08-02 16:40:29
