station_id;fecha_hora;temp_promedio_aire;precipitacion_horaria;humed_rel_promedio;presion_atmosferica;radiacion_solar_max;veloc_max_viento;temp_minima;temp_maxima;direccion_del_viento;grados_dia;horas_frio
38;2021-01-01T03:00:00Z;10,8;0,0;89,4;981,1;1;0,0;10,4;11,2;270;NA;NA
38;2021-01-01T04:00:00Z;10,6;0,0;89,6;981,5;1;0,0;10,5;10,8;270;NA;NA
38;2021-01-01T05:00:00Z;9,8;0,0;90,1;982,0;1;0,0;9,4;10,5;270;NA;NA
38;2021-01-01T06:00:00Z;9,0;0,0;91,2;982,6;6;0,0;8,2;9,4;270;NA;NA
38;2021-01-01T07:00:00Z;9,8;0,0;90,3;983,9;137;0,0;8,1;11,8;270;NA;NA
38;2021-01-01T08:00:00Z;15,2;0,0;81,3;985,2;283;1,0;14,2;15,6;340;NA;NA
38;2021-01-01T09:00:00Z;16,4;0,0;78,5;986,1;322;1,5;15,5;17,6;355;NA;NA
38;2021-01-01T10:00:00Z;16,4;0,0;78,4;986,6;416;1,0;15,6;17,5;347;NA;NA
38;2021-01-01T11:00:00Z;19,2;0,0;69,1;986,3;786;1,5;18,4;20,3;340;NA;NA
38;2021-01-01T12:00:00Z;22,1;0,0;59,6;986,0;884;1,0;21,2;23,0;333;NA;NA
38;2021-01-01T13:00:00Z;24,0;0,0;50,4;985,5;913;1,0;22,6;24,9;316;NA;NA
38;2021-01-01T14:00:00Z;26,3;0,0;46,1;985,0;911;1,8;25,7;26,7;300;NA;NA
38;2021-01-01T15:00:00Z;27,6;0,0;43,4;984,6;858;1,5;26,7;28,2;229;NA;NA
38;2021-01-01T16:00:00Z;25,7;0,0;48,1;984,2;766;1,8;24,3;27,1;243;NA;NA
38;2021-01-01T17:00:00Z;23,7;0,0;53,4;983,6;637;1,5;23,1;24,6;246;NA;NA
38;2021-01-01T18:00:00Z;22,1;0,0;58,3;983,1;468;1,3;21,2;22,5;243;NA;NA
38;2021-01-01T19:00:00Z;19,0;0,0;68,7;983,4;137;1,3;18,0;20,1;240;NA;NA
38;2021-01-01T20:00:00Z;16,3;0,0;78,3;983,8;37;1,0;15,2;17,4;237;NA;NA
38;2021-01-01T21:00:00Z;14,3;0,0;85,1;984,1;2;0,5;13,9;14,7;256;NA;NA
38;2021-01-01T22:00:00Z;13,6;0,0;87,5;984,0;1;0,3;13,5;13,7;239;NA;NA
38;2021-01-01T23:00:00Z;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;2021-01-02T00:00:00Z;11,7;0,0;91,0;984,1;1;0,0;11,3;11,9;220;498,15;NA
38;2021-01-02T01:00:00Z;10,6;0,0;91,9;983,8;1;0,0;10,3;11,2;220;NA;NA
38;2021-01-02T02:00:00Z;11,4;0,0;93,3;983,8;1;0,3;10,2;12,2;232;NA;NA
38;2021-01-02T03:00:00Z;12,6;0,0;93,5;983,6;1;0,0;12,4;12,6;236;NA;NA
38;2021-01-02T04:00:00Z;12,7;0,0;93,1;983,3;1;0,3;12,7;12,8;338;NA;NA
38;2021-01-02T05:00:00Z;12,8;0,0;93,1;983,5;1;0,0;12,7;12,9;338;NA;NA
38;2021-01-02T06:00:00Z;13,2;0,0;92,5;983,9;1;0,0;13,0;13,4;338;NA;NA
38;2021-01-02T07:00:00Z;13,4;0,0;92,4;984,4;23;0,5;13,3;13,5;312;NA;NA
38;2021-01-02T08:00:00Z;13,9;0,0;91,0;984,9;48;0,3;13,6;14,1;327;NA;NA
38;2021-01-02T09:00:00Z;14,2;0,0;89,8;985,3;102;0,3;14,1;14,5;345;NA;NA
38;2021-01-02T10:00:00Z;15,3;0,0;86,0;985,8;211;1,0;14,8;16,0;354;NA;NA
38;2021-01-02T11:00:00Z;17,0;0,0;79,7;986,2;327;0,5;16,3;18,1;355;NA;NA
38;2021-01-02T12:00:00Z;19,9;0,0;69,9;986,0;1181;1,0;18,9;21,3;340;NA;NA
38;2021-01-02T13:00:00Z;22,5;0,0;61,0;985,8;901;1,0;21,9;23,2;351;NA;NA
38;2021-01-02T14:00:00Z;25,2;0,0;52,8;985,5;902;1,0;24,3;26,3;333;NA;NA
38;2021-01-02T15:00:00Z;24,4;0,0;54,2;985,6;861;2,0;23,6;25,4;243;NA;NA
38;2021-01-02T16:00:00Z;24,0;0,0;55,3;985,7;766;1,8;23,6;24,6;220;NA;NA
38;2021-01-02T17:00:00Z;24,1;0,0;53,9;985,1;632;1,5;23,6;24,7;223;NA;NA
38;2021-01-02T18:00:00Z;22,0;0,0;59,0;985,0;469;1,3;21,0;23,0;243;NA;NA
38;2021-01-02T19:00:00Z;19,4;0,0;67,1;985,2;77;1,3;18,3;20,8;234;NA;NA
38;2021-01-02T20:00:00Z;16,0;0,0;79,7;985,9;37;1,3;15,0;17,1;246;NA;NA
38;2021-01-02T21:00:00Z;14,2;0,0;86,4;986,4;1;0,8;13,8;14,6;230;NA;NA
38;2021-01-02T22:00:00Z;13,9;0,0;88,1;986,8;1;0,5;13,8;14,0;225;NA;NA
38;2021-01-02T23:00:00Z;13,6;0,0;88,8;987,1;1;0,5;13,6;13,6;220;NA;NA
38;2021-01-03T00:00:00Z;13,6;0,0;88,6;986,2;1;0,3;13,5;13,7;190;506,05;NA
38;2021-01-03T01:00:00Z;13,7;0,0;89,4;985,3;1;0,5;13,6;13,7;140;NA;NA
38;2021-01-03T02:00:00Z;12,9;0,0;89,7;985,3;1;0,5;12,7;13,3;225;NA;NA
38;2021-01-03T03:00:00Z;13,0;0,0;88,2;984,6;1;0,0;12,9;13,0;206;NA;NA
38;2021-01-03T04:00:00Z;12,8;0,0;88,6;984,1;1;0,3;12,7;12,8;232;NA;NA
38;2021-01-03T05:00:00Z;12,6;0,0;89,8;984,4;1;0,3;12,4;12,7;236;NA;NA
38;2021-01-03T06:00:00Z;12,4;0,0;90,0;984,3;1;0,3;12,3;12,5;243;NA;NA
