station_id;fecha_hora;temp_promedio_aire;precipitacion_horaria;humed_rel_promedio;presion_atmosferica;radiacion_solar_max;veloc_max_viento;temp_minima;temp_maxima;direccion_del_viento;grados_dia;horas_frio
28;2021-01-01T03:00:00Z;15,0;0,0;72,1;931,0;1;0,0;13,7;15,8;340;NA;NA
28;2021-01-01T04:00:00Z;14,6;0,0;72,4;931,5;1;0,0;13,8;14,9;37;NA;NA
28;2021-01-01T05:00:00Z;13,9;0,0;77,5;932,0;1;0,0;13,7;14,2;22;NA;NA
28;2021-01-01T06:00:00Z;14,1;0,0;79,2;932,9;2;0,0;13,8;14,2;22;NA;NA
28;2021-01-01T07:00:00Z;14,5;0,0;75,6;933,9;28;0,0;13,4;16,0;22;NA;NA
28;2021-01-01T08:00:00Z;17,4;0,0;65,2;934,4;58;0,0;16,4;18,1;218;NA;NA
28;2021-01-01T09:00:00Z;20,2;0,0;55,8;934,5;481;1,0;18,9;21,6;331;NA;NA
28;2021-01-01T10:00:00Z;22,7;0,0;49,4;934,4;664;1,0;22,3;23,5;254;NA;NA
28;2021-01-01T11:00:00Z;25,8;0,0;44,2;934,2;836;1,0;25,0;26,6;299;NA;NA
28;2021-01-01T12:00:00Z;28,2;0,0;39,1;933,8;927;1,5;27,4;29,3;281;NA;NA
28;2021-01-01T13:00:00Z;30,6;0,0;34,2;933,3;949;1,0;29,7;31,3;298;NA;NA
28;2021-01-01T14:00:00Z;32,5;0,0;30,7;932,7;947;1,0;32,0;33,1;274;NA;NA
28;2021-01-01T15:00:00Z;33,7;0,0;30,1;932,0;904;1,0;33,3;34,2;286;NA;NA
28;2021-01-01T16:00:00Z;32,9;0,0;31,7;931,6;779;1,5;32,5;33,2;310;NA;NA
28;2021-01-01T17:00:00Z;31,6;0,0;32,3;930,9;622;1,5;31,3;32,2;317;NA;NA
28;2021-01-01T18:00:00Z;29,7;0,0;34,9;930,6;406;1,5;28,9;30,6;321;NA;NA
28;2021-01-01T19:00:00Z;27,8;0,0;38,1;930,7;204;1,0;27,2;28,5;319;NA;NA
28;2021-01-01T20:00:00Z;25,2;0,0;41,9;931,4;96;1,0;24,1;26,4;312;NA;NA
28;2021-01-01T21:00:00Z;23,1;0,0;46,3;931,9;2;1,0;22,4;23,7;310;NA;NA
28;2021-01-01T22:00:00Z;21,7;0,0;50,6;932,3;1;1,0;21,3;22,1;293;NA;NA
28;2021-01-01T23:00:00Z;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;2021-01-02T00:00:00Z;18,8;0,0;59,9;932,8;1;0,0;18,0;19,5;277;994,25;NA
28;2021-01-02T01:00:00Z;17,0;0,0;67,0;933,0;1;0,5;16,8;17,3;268;NA;NA
28;2021-01-02T02:00:00Z;16,4;0,0;69,9;933,2;1;0,0;16,1;16,8;226;NA;NA
28;2021-01-02T03:00:00Z;15,3;0,0;75,3;932,9;1;0,0;14,7;16,0;163;NA;NA
28;2021-01-02T04:00:00Z;13,7;0,0;82,3;932,9;1;0,0;13,3;14,0;80;NA;NA
28;2021-01-02T05:00:00Z;12,8;0,0;85,6;933,1;1;0,0;12,4;13,4;80;NA;NA
28;2021-01-02T06:00:00Z;13,4;0,0;84,4;933,6;2;0,0;13,0;13,6;292;NA;NA
28;2021-01-02T07:00:00Z;13,1;0,0;86,3;934,4;57;0,0;12,7;13,7;198;NA;NA
28;2021-01-02T08:00:00Z;15,4;0,0;79,2;934,9;92;0,0;14,4;16,1;198;NA;NA
28;2021-01-02T09:00:00Z;18,0;0,0;71,2;935,0;491;0,0;16,5;19,8;226;NA;NA
28;2021-01-02T10:00:00Z;22,9;0,0;56,9;934,5;676;0,5;20,7;25,4;216;NA;NA
28;2021-01-02T11:00:00Z;26,4;0,0;45,9;933,8;838;0,5;25,5;27,3;209;NA;NA
28;2021-01-02T12:00:00Z;28,9;0,0;40,4;933,4;946;0,5;27,7;30,2;244;NA;NA
28;2021-01-02T13:00:00Z;30,7;0,0;36,5;933,3;971;1,0;29,7;31,5;271;NA;NA
28;2021-01-02T14:00:00Z;31,4;0,0;32,9;933,3;958;2,0;30,7;31,9;253;NA;NA
28;2021-01-02T15:00:00Z;31,9;0,0;30,6;932,9;917;1,5;31,1;32,2;223;NA;NA
28;2021-01-02T16:00:00Z;31,5;0,0;31,2;932,5;797;2,0;31,2;32,2;211;NA;NA
28;2021-01-02T17:00:00Z;30,7;0,0;33,9;932,1;641;2,0;30,3;31,3;208;NA;NA
28;2021-01-02T18:00:00Z;30,0;0,0;35,5;932,1;418;1,5;29,0;30,4;247;NA;NA
28;2021-01-02T19:00:00Z;26,5;0,0;42,1;932,9;221;1,0;25,5;27,4;314;NA;NA
28;2021-01-02T20:00:00Z;23,8;0,0;46,9;933,5;102;0,5;22,7;24,9;307;NA;NA
28;2021-01-02T21:00:00Z;21,8;0,0;50,4;933,9;2;0,5;21,5;22,2;327;NA;NA
28;2021-01-02T22:00:00Z;20,5;0,0;56,0;934,5;1;1,0;20,0;21,1;300;NA;NA
28;2021-01-02T23:00:00Z;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;2021-01-03T00:00:00Z;18,2;0,0;65,6;934,9;1;0,0;17,3;19,3;253;1006,60;NA
28;2021-01-03T01:00:00Z;16,1;0,0;74,8;934,9;1;0,0;15,8;16,3;157;NA;NA
28;2021-01-03T02:00:00Z;14,5;0,0;81,7;934,6;1;0,0;14,3;14,9;181;NA;NA
28;2021-01-03T03:00:00Z;13,8;0,0;83,6;933,9;1;0,0;13,0;14,3;181;NA;NA
28;2021-01-03T04:00:00Z;13,1;0,0;86,7;933,6;1;0,0;12,9;13,7;180;NA;NA
28;2021-01-03T05:00:00Z;13,2;0,0;85,8;933,8;1;0,0;12,8;14,0;37;NA;NA
28;2021-01-03T06:00:00Z;12,9;0,0;87,8;934,5;2;0,0;12,3;13,2;163;NA;NA
28;2021-01-03T07:00:00Z;12,7;0,0;89,7;935,0;22;0,0;12,4;13,5;170;NA;NA
28;2021-01-03T08:00:00Z;15,8;0,0;80,7;935,1;39;0,0;14,2;17,2;34;NA;NA
28;2021-01-03T09:00:00Z;19,9;0,0;65,9;934,4;507;0,0;18,3;22,1;241;NA;NA
28;2021-01-03T10:00:00Z;24,7;0,0;50,7;933,3;686;0,5;22,9;26,2;191;NA;NA
28;2021-01-03T11:00:00Z;28,4;0,0;41,5;932,4;858;0,0;27,7;28,8;330;NA;NA
28;2021-01-03T12:00:00Z;30,6;0,0;36,7;932,1;947;0,5;29,0;31,3;288;NA;NA
28;2021-01-03T13:00:00Z;31,7;0,0;35,5;931,9;958;1,0;30,9;32,1;329;NA;NA
28;2021-01-03T14:00:00Z;33,1;0,0;30,5;931,7;956;1,0;32,6;33,5;313;NA;NA
28;2021-01-03T15:00:00Z;34,6;0,0;23,6;931,5;908;1,0;33,9;35,7;306;NA;NA
28;2021-01-03T16:00:00Z;34,1;0,0;25,8;931,0;798;1,5;33,8;34,4;229;NA;NA
28;2021-01-03T17:00:00Z;33,0;0,0;29,0;930,5;638;2,0;32,8;33,1;209;NA;NA
28;2021-01-03T18:00:00Z;32,0;0,0;30,8;930,4;421;1,0;30,8;33,0;248;NA;NA
28;2021-01-03T19:00:00Z;28,4;0,0;39,7;930,8;237;1,0;27,5;29,4;300;NA;NA
28;2021-01-03T20:00:00Z;24,9;0,0;46,5;931,6;116;1,5;23,3;26,7;316;NA;NA
28;2021-01-03T21:00:00Z;22,6;0,0;50,9;932,2;2;1,0;22,3;22,9;310;NA;NA
28;2021-01-03T22:00:00Z;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;2021-01-03T23:00:00Z;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;2021-01-04T00:00:00Z;19,2;0,0;62,0;932,9;1;0,0;18,5;19,5;278;1020,25;NA
28;2021-01-04T01:00:00Z;17,3;0,0;69,4;932,6;1;0,0;16,7;18,1;204;NA;NA
28;2021-01-04T02:00:00Z;15,8;0,0;75,6;932,2;1;0,0;15,3;16,1;32;NA;NA
28;2021-01-04T03:00:00Z;14,8;0,0;80,7;931,6;1;0,0;14,4;15,1;32;NA;NA
28;2021-01-04T04:00:00Z;14,0;0,0;81,9;931,3;1;0,0;13,1;15,1;34;NA;NA
28;2021-01-04T05:00:00Z;12,9;0,0;85,8;931,3;1;0,0;12,8;13,1;34;NA;NA
28;2021-01-04T06:00:00Z;13,5;0,0;83,2;931,6;2;0,0;13,0;14,2;39;NA;NA
28;2021-01-04T07:00:00Z;15,0;0,0;78,7;931,6;23;0,0;14,3;15,5;44;NA;NA
28;2021-01-04T08:00:00Z;16,9;0,0;73,7;932,0;38;0,0;15,8;18,2;152;NA;NA
28;2021-01-04T09:00:00Z;21,3;0,0;58,5;931,9;498;0,0;19,3;23,8;347;NA;NA
28;2021-01-04T10:00:00Z;26,5;0,0;44,6;931,4;682;0,0;25,0;27,8;256;NA;NA
28;2021-01-04T11:00:00Z;29,1;0,0;36,2;930,9;842;0,5;28,3;29,5;330;NA;NA
28;2021-01-04T12:00:00Z;30,8;0,0;32,5;930,5;939;0,5;29,8;31,3;329;NA;NA
