station_id;fecha_hora;temp_promedio_aire;precipitacion_horaria;humed_rel_promedio;presion_atmosferica;radiacion_solar_max;veloc_max_viento;temp_minima;temp_maxima;direccion_del_viento;grados_dia;horas_frio
40;2021-01-01T03:00:00Z;14,0;0,0;55,9;942,9;1;0,0;13,6;14,2;128;NA;NA
40;2021-01-01T04:00:00Z;13,9;0,0;56,8;943,4;1;0,0;13,7;14,2;128;NA;NA
40;2021-01-01T05:00:00Z;13,9;0,0;57,4;943,8;1;0,0;13,6;14,3;128;NA;NA
40;2021-01-01T06:00:00Z;13,3;0,0;59,0;944,8;2;0,0;12,7;13,8;128;NA;NA
40;2021-01-01T07:00:00Z;13,4;0,0;56,6;945,6;108;0,0;12,7;14,9;128;NA;NA
40;2021-01-01T08:00:00Z;20,7;0,0;44,1;945,8;284;0,0;17,9;23,7;128;NA;NA
40;2021-01-01T09:00:00Z;24,8;0,0;35,5;945,9;463;0,8;23,6;25,4;209;NA;NA
40;2021-01-01T10:00:00Z;27,5;0,0;31,7;946,0;626;1,1;26,0;28,7;209;NA;NA
40;2021-01-01T11:00:00Z;29,7;0,0;28,8;946,0;769;2,3;29,3;30,3;232;NA;NA
40;2021-01-01T12:00:00Z;31,7;0,0;27,1;945,6;874;3,8;31,2;32,3;239;NA;NA
40;2021-01-01T13:00:00Z;32,6;0,0;26,3;945,4;912;3,4;32,3;32,8;202;NA;NA
40;2021-01-01T14:00:00Z;33,8;0,0;25,3;944,8;909;3,0;33,3;34,6;206;NA;NA
40;2021-01-01T15:00:00Z;34,5;0,0;24,7;944,2;874;4,9;34,2;34,9;208;NA;NA
40;2021-01-01T16:00:00Z;34,6;0,0;26,2;943,9;753;2,7;34,4;34,7;167;NA;NA
40;2021-01-01T17:00:00Z;33,6;0,0;27,0;943,4;607;3,0;33,1;34,2;174;NA;NA
40;2021-01-01T18:00:00Z;32,1;0,0;28,9;943,0;444;2,7;31,4;32,5;171;NA;NA
40;2021-01-01T19:00:00Z;30,3;0,0;31,8;943,1;222;1,1;29,5;31,0;157;NA;NA
40;2021-01-01T20:00:00Z;27,7;0,0;36,3;943,7;101;1,1;26,5;28,9;188;NA;NA
40;2021-01-01T21:00:00Z;24,9;0,0;40,1;944,3;2;0,0;24,2;25,8;184;NA;NA
40;2021-01-01T22:00:00Z;22,8;0,0;45,2;944,6;1;0,0;21,5;24,1;178;NA;NA
40;2021-01-01T23:00:00Z;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;2021-01-02T00:00:00Z;19,3;0,0;56,7;945,0;1;0,4;18,8;19,8;277;774,00;NA
40;2021-01-02T01:00:00Z;17,0;0,0;64,1;945,2;1;0,0;16,5;17,8;274;NA;NA
40;2021-01-02T02:00:00Z;15,7;0,0;68,7;945,2;1;0,0;15,2;16,2;274;NA;NA
40;2021-01-02T03:00:00Z;14,5;0,0;70,6;944,6;1;0,0;14,4;14,7;274;NA;NA
40;2021-01-02T04:00:00Z;13,7;0,0;71,3;944,3;1;0,0;13,6;13,9;274;NA;NA
40;2021-01-02T05:00:00Z;13,9;0,0;71,2;944,9;1;0,0;13,7;14,1;274;NA;NA
40;2021-01-02T06:00:00Z;14,4;0,0;73,5;945,4;2;0,0;13,6;15,5;265;NA;NA
40;2021-01-02T07:00:00Z;14,8;0,0;74,5;946,3;18;0,0;14,6;15,3;257;NA;NA
40;2021-01-02T08:00:00Z;15,5;0,0;74,1;946,9;266;0,0;14,7;17,3;257;NA;NA
40;2021-01-02T09:00:00Z;21,8;0,0;56,3;946,6;451;0,0;20,3;23,5;257;NA;NA
40;2021-01-02T10:00:00Z;24,5;0,0;48,9;946,0;622;0,4;23,1;25,5;254;NA;NA
