station_id;fecha_hora;temp_promedio_aire;precipitacion_horaria;humed_rel_promedio;presion_atmosferica;radiacion_solar_max;veloc_max_viento;temp_minima;temp_maxima;direccion_del_viento;grados_dia;horas_frio
39;2021-01-01T03:00:00Z;12,9;0,0;64,5;1011,0;0;0,0;12,7;13,1;305;NA;NA
39;2021-01-01T04:00:00Z;12,4;0,0;65,5;1011,5;0;0,0;12,2;12,6;305;NA;NA
39;2021-01-01T05:00:00Z;11,0;0,0;64,5;1012,3;0;0,0;10,5;11,7;305;NA;NA
39;2021-01-01T06:00:00Z;9,8;0,0;65,5;1012,7;9;0,0;9,4;10,2;305;NA;NA
39;2021-01-01T07:00:00Z;10,2;0,0;69,2;1014,1;139;0,0;9,4;11,4;305;NA;NA
39;2021-01-01T08:00:00Z;14,7;0,0;61,8;1015,3;381;1,3;12,6;16,6;305;NA;NA
39;2021-01-01T09:00:00Z;18,8;0,0;49,8;1015,8;589;1,8;17,6;20,0;167;NA;NA
39;2021-01-01T10:00:00Z;20,3;0,0;47,5;1015,9;779;0,9;19,9;21,2;207;NA;NA
39;2021-01-01T11:00:00Z;22,6;0,0;44,0;1015,8;930;3,1;22,3;23,0;340;NA;NA
39;2021-01-01T12:00:00Z;23,9;0,0;43,0;1015,7;1027;2,7;23,4;24,6;355;NA;NA
39;2021-01-01T13:00:00Z;25,4;0,0;39,2;1015,4;1065;2,7;24,8;25,7;303;NA;NA
39;2021-01-01T14:00:00Z;26,7;0,0;35,5;1014,8;1058;1,8;26,3;27,0;333;NA;NA
39;2021-01-01T15:00:00Z;27,0;0,0;32,5;1014,1;1014;3,1;26,6;27,2;333;NA;NA
39;2021-01-01T16:00:00Z;25,8;0,0;34,2;1013,9;902;3,1;25,4;26,2;214;NA;NA
39;2021-01-01T17:00:00Z;26,5;0,0;32,8;1013,2;744;1,8;26,3;26,6;232;NA;NA
39;2021-01-01T18:00:00Z;25,5;0,0;37,8;1012,8;543;2,7;24,8;26,3;243;NA;NA
39;2021-01-01T19:00:00Z;23,2;0,0;42,8;1012,9;327;2,2;21,8;24,8;343;NA;NA
39;2021-01-01T20:00:00Z;19,1;0,0;53,2;1013,4;91;1,8;17,7;20,5;348;NA;NA
39;2021-01-01T21:00:00Z;16,6;0,0;58,2;1014,0;0;0,9;16,1;17,1;332;NA;NA
39;2021-01-01T22:00:00Z;15,5;0,0;61,0;1014,4;0;0,0;15,1;16,0;284;NA;NA
